"filename", "language", "JavaScript", "Markdown", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\package-lock.json", "JSON", 0, 0, 0, 29282, 0, 0, 1, 29283
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\package.json", "JSON", 0, 0, 0, 40, 0, 0, 1, 41
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\public\index.html", "HTML", 0, 0, 0, 0, 19, 10, 1, 30
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\public\style.css", "CSS", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\App.css", "CSS", 0, 0, 72, 0, 0, 0, 15, 87
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\Game.js", "JavaScript", 125, 0, 0, 0, 0, 1, 12, 138
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\HomePage.js", "JavaScript", 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\index.js", "JavaScript", 23, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 206, 38, 78, 29347, 19, 14, 78, 29780