"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\README.md", "Markdown", 0, 0, 0, -38, 0, 0, -33, -71
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\package-lock.json", "JSON", -29282, 0, 0, 0, 0, 0, -1, -29283
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\package.json", "JSON", -40, 0, 0, 0, 0, 0, -1, -41
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\public\index.html", "HTML", 0, 0, 0, 0, -19, -10, -1, -30
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\public\manifest.json", "JSON", -25, 0, 0, 0, 0, 0, -1, -26
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\public\style.css", "CSS", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\App.css", "CSS", 0, 0, -82, 0, 0, 0, -18, -100
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\Game.js", "JavaScript", 0, -191, 0, 0, 0, -2, -19, -212
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\HomePage.js", "JavaScript", 0, -46, 0, 0, 0, 0, -7, -53
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\index.js", "JavaScript", 0, -23, 0, 0, 0, -3, -4, -30
"c:\Users\Rolis\source\repos\HitTheSilkV1\client\src\reportWebVitals.js", "JavaScript", 0, -12, 0, 0, 0, 0, -2, -14
"c:\Users\Rolis\source\repos\HitTheSilkV1\server\index.js", "JavaScript", 0, 197, 0, 0, 0, 25, 17, 239
"c:\Users\Rolis\source\repos\HitTheSilkV1\server\package-lock.json", "JSON", 1936, 0, 0, 0, 0, 0, 1, 1937
"c:\Users\Rolis\source\repos\HitTheSilkV1\server\package.json", "JSON", 18, 0, 0, 0, 0, 0, 1, 19
"Total", "-", -27393, -75, -88, -38, -19, 10, -69, -27672